word,freq
ระหว่าง,34269
สำหรับ,34252
น้ำ,34143
ผล,34034
ฯ,33957
ใช่,33736
แสดง,33664
กำลัง,32946
2,32931
สร้าง,32900
ท่าน,32859
เงิน,32453
โลก,32400
ช่วย,32378
กำหนด,31907
จริง,31874
ขอ,31719
ทำงาน,31469
ระบบ,31216
ใหญ่,31040
ลูก,30991
เอง,30958
อัน,30827
พอ,30671
1,30346
ที่สุด,30329
แม่,30084
พบ,30062
บน,30046
เสีย,30016
แก่,29862
ควร,29650
เมือง,29502
น้อย,29425
เดิน,29373
สี,29287
น่า,29150
พี่,28952
ร่วม,28907
พัฒนา,28851
ใจ,28669
หาก,28585
มาตรา,28426
สูง,27948
กิน,26794
ส่ง,26212
เดียว,26177
แรก,26140
กรณี,25993
ระดับ,25973
ตัวเอง,25737
กฎหมาย,25728
กล่าว,25567
อาหาร,25533
เกี่ยวกับ,25220
ดังกล่าว,25009
นัก,24938
จัด,24895
ช่วง,24816
ฝ่าย,24787
เพียง,24673
ลักษณะ,24670
หลัง,24475
ข้อ,24367
จำนวน,24366
พวก,24252
ตน,24225
รวม,23928
เริ่ม,23889
สาว,23801
เพื่อน,23737
บุคคล,23539
ครับ,23469
ถาม,23387
บ้าง,23281
พิจารณา,23191
อำนาจ,23183
’,22991
รัก,22870
วันที่,22822
ภาพ,22611
ตา,22543
ค่า,22333
ผ่าน,22201
ห้อง,22189
หนังสือ,21747
3,21742
ข้อมูล,21738
ยิ่ง,21592
ดัง,21571
เพิ่ม,21555
ทรง,21523
ตั้งแต่,21506
พ่อ,21456
ต่อไป,21374
สำคัญ,21363
เศรษฐกิจ,21354
เปิด,21352
ไหน,21337
กระทำ,21298
ตั้ง,21261
เข้าใจ,21196
ชอบ,21123
ภาษา,21093
ตรง,20993
เรียน,20966
ตอน,20897
‘,20536
รัฐ,20535
การศึกษา,20351
ก็ได้,20137
รู้สึก,20134
ขนาด,20071
เท่านั้น,19912
นั่ง,19666
เดือน,19584
ชื่อ,19580
ชาติ,19486
ผิด,19439
รัฐบาล,19384
หลัก,19348
นาน,19333
รถ,19270
จีน,19028
ฟัง,19026
เล็ก,18993
ภายใน,18874
แต่ละ,18765
ละ,18735
ต้องการ,18722
ตาย,18714
มือ,18626
หญิง,18497
เรียก,18335
รูป,18212
บาท,18176
ประชาชน,18140
ยา,18103
มนุษย์,18068
สาม,17960
ลด,17731
ผลิต,17714
ซื้อ,17651
เล่น,17636
หมด,17560
การเมือง,17481
ขาย,17427
เสนอ,17302
ปฏิบัติ,17287
ชาว,17261
พร้อม,17246
มัก,17232
รักษา,17221
เลือก,17206
อ่าน,17188
อย่างไร,17172
เขียน,17158
ก็คือ,16929
ล่ะ,16892
ระยะ,16824
ค่ะ,16766
ตลอด,16589
สู่,16404
ความคิด,16357
หรือไม่,16315
หน้าที่,16277
ราคา,16250
ประชุม,16228
5,16146
ผู้หญิง,16130
ติด,16123
ใส่,16093
ศึกษา,16079
เก็บ,16073
ชั้น,15994
เดียวกัน,15964
สิทธิ,15809
ประโยชน์,15792
คณะกรรมการ,15785
แค่,15718
เปลี่ยน,15675
ปัจจุบัน,15595
เจ้า,15586
คะ,15543
พื้นที่,15520
4,15415
วิธี,15314
ตำแหน่ง,15225
ทำไม,15194
ประจำ,15155
พยายาม,15125
เนื่องจาก,15015
โอกาส,14903
แม้,14864
สมัย,14837
อย่า,14835
ประเภท,14826
สัมพันธ์,14820
เหตุ,14777
ตอบ,14776
วัฒนธรรม,14684
ตนเอง,14656
นั่น,14644
สัก,14530
สินค้า,14528
เดิม,14508
จำเป็น,14440
เปลี่ยนแปลง,14297
ถือ,14273
เล่า,14231
ประกอบ,14206
ชนิด,14173
กระทรวง,14157
ปรากฏ,14000
แล้วก็,13997
ชาย,13943
ดำเนินการ,13919
รอบ,13888
บริษัท,13876
จังหวัด,13862
ใบ,13833
นอน,13814
ทั้งหมด,13774
สุข,13762
เกิน,13756
ครู,13715
รู้จัก,13710
โดยเฉพาะ,13617
ดังนั้น,13602
ร้าน,13562
บริการ,13560
ทราบ,13512
ประมาณ,13490
จุด,13478
ง่าย,13466
โครงการ,13326
ตัวอย่าง,13212
ข้าง,13175
ภาค,13095
เรียกว่า,13085
คืน,13083
หรอก,13080
โรค,13061
อาการ,13023
อายุ,13004
เหล่านี้,13002
พา,12984
แก,12848
แตกต่าง,12822
วิธีการ,12802
น้อง,12791
หมอ,12779
ความรู้สึก,12740
แทน,12726
ที่อยู่,12714
เชื่อ,12675
ล้าน,12609
ยาว,12573
ราชการ,12549
ครอบครัว,12532
ไหม,12469
นา,12420
เดินทาง,12410
โรงเรียน,12362
คณะ,12263
สภา,12177
สภาพ,12160
ที,12142
พรรค,12120
วัด,12110
ประกาศ,12097
นาง,12086
หัว,12063
กลาง,12000
แรง,11965
คู่,11877
ตลาด,11848
กลายเป็น,11814
จับ,11786
วิจัย,11763
แนว,11698
ข้าว,11668
หัน,11655
ไม่ว่า,11643
เฉพาะ,11642
ยก,11608
อาศัย,11591
ย่อม,11587
ชุด,11555
หนู,11521
นโยบาย,11496
/,11465
น่ะ,11410
ความรู้,11403
เท่า,11396
ยอม,11352
ราย,11323
ควบคุม,11319
ธรรมชาติ,11281
วาง,11263
ส่วนใหญ่,11260
ปกติ,11236
บริหาร,11232
ยืน,11213
ประการ,11196
สัญญา,11144
สมาชิก,11141
นิยม,11137
รอ,11068
หลังจาก,11058
ต้น,11009
สิ,10977
อนุญาต,10952
ร่าง,10945
สอน,10943
ญี่ปุ่น,10914
ทางการ,10887
เปล่า,10843
ใกล้,10825
สิบ,10804
แก้ไข,10769
เพลง,10749
พิเศษ,10724
จัดการ,10686
ปาก,10680
เป็นต้น,10669
ความหมาย,10634
บริเวณ,10561
ยิ้ม,10548
ทั้งนี้,10537
ยุค,10486
สัตว์,10484
บท,10469
รวมทั้ง,10464
เขต,10461
นอก,10460
ดูแล,10450
หาย,10445
ไม้,10426
บังคับ,10400
ยาก,10368
สาย,10307
อัตรา,10298
ได้แก่,10261
เชิง,10244
ตรวจ,10239
วันนี้,10194
สำนักงาน,10189
สัมภาษณ์,10165
จบ,10164
ทันที,10140
เจอ,10120
ยอมรับ,10092
เจ้าของ,10074
ผู้ชาย,10069
นอกจาก,10065
ชุมชน,10009
ขาด,9979
ทั่ว,9977
ยังไง,9950
อา,9932
ไง,9930
สวย,9886
เจ้าหน้าที่,9882
รายงาน,9857
ข่าว,9857
ฉบับ,9848
มิ,9846
ฐานะ,9844
สถาบัน,9831
ประธาน,9781
ปรับ,9761
โต,9740
สนับสนุน,9739
เกี่ยวข้อง,9694
แพทย์,9679
ดังนี้,9665
เสมอ,9642
หล่อน,9615
ตอนนี้,9594
เครื่อง,9582
แก้,9577
ทหาร,9571
เหลือ,9551
ระเบียบ,9513
วิเคราะห์,9502
อารมณ์,9497
แดง,9495
จิต,9472
ช่วยเหลือ,9466
ยังคง,9461
รีบ,9440
ปล่อย,9430
ขาว,9425
เหตุผล,9421
ปลา,9407
ต่างประเทศ,9398
สั่ง,9373
มิได้,9315
ร้อน,9313
ณ,9290
แบ่ง,9273
ปกครอง,9259
เน้น,9247
ประตู,9240
ถือว่า,9240
รูปแบบ,9236
ความสำคัญ,9209
เรือ,9193
หมายถึง,9180
เต็ม,9149
ธุรกิจ,9099
ชัดเจน,9063
หยุด,9059
โอ,9055
นับ,9052
อังกฤษ,9052
แยก,9040
ร่างกาย,9037
หัวใจ,9036
สนใจ,9031
อาจารย์,9026
ทั่วไป,8984
คุย,8970
ศาล,8950
ต่ำ,8939
ความผิด,8918
มหาวิทยาลัย,8912
พัก,8887
ดิฉัน,8839
ปิด,8836
สุดท้าย,8834
ต่อมา,8810
จำ,8803
มากมาย,8758
สาร,8740
แรงงาน,8732
กลัว,8721
ดำ,8714
เหนือ,8683
ใต้,8677
สี่,8673
เหตุการณ์,8671
รายได้,8647
ถนน,8636
วิ่ง,8623
ไอ้,8593
กระบวนการ,8587
ได้ยิน,8582
อธิบาย,8575
ตก,8554
วัย,8536
ทอง,8510
นึก,8476
กรุงเทพ,8469
แจ้ง,8455
เหมาะสม,8436
ดาว,8425
ที่สำคัญ,8397
ธรรม,8394
เส้น,8389
จ่าย,8344
ป่า,8330
แน่,8318
ร้อง,8297
ป้องกัน,8262
เหรอ,8241
สุด,8217
กรรมการ,8206
ปัจจัย,8194
6,8188
ทำการ,8172
0,8169
เย็น,8151
ตัดสินใจ,8149
อุตสาหกรรม,8138
คดี,8124
สายตา,8122
เร็ว,8120
คำถาม,8095
ชน,8055
ค้า,8027
หัวเราะ,8023
นอกจากนี้,8021
ทะเล,8015
ห้า,7999
พระราชบัญญัติ,7988
ศรี,7958
ที่ดิน,7954
รุ่น,7906
ตำรวจ,7897
ซี,7877
จนถึง,7861
ที่ผ่านมา,7860
พฤติกรรม,7849
กรม,7829
ทิ้ง,7818
โครงสร้าง,7809
แหล่ง,7799
เสร็จ,7797
ขณะที่,7794
เลี้ยง,7789
เก่า,7761
เพิ่ง,7750
ที่มา,7740
ตรวจสอบ,7737
ไม่ค่อย,7734
ร้อย,7733
ราช,7720
ระบุ,7712
ค่อย,7711
แก้ว,7709
รายการ,7685
เลิก,7683
ผู้นำ,7669
ความจริง,7655
คุณภาพ,7652
ศาสนา,7640
กิจกรรม,7636
ร้อยละ,7624
กิจการ,7615
อดีต,7613
เช่นนี้,7601
หนุ่ม,7591
ส่งเสริม,7583
แน่นอน,7554
ขั้น,7472
อาชีพ,7467
ข้าพเจ้า,7466
ตัด,7463
หน่วยงาน,7429
ผ้า,7415
เกือบ,7363
ก็ตาม,7362
บทบาท,7355
สถานที่,7351
ชาวบ้าน,7333
หนัง,7266
หน่อย,7263
เพศ,7215
สหรัฐ,7209
พระองค์,7208
ความสามารถ,7203
ทฤษฎี,7195
พวกเขา,7191
เกษตร,7182
ภาษี,7181
นักเรียน,7168
โทษ,7151
ไกล,7146
หมู่บ้าน,7118
ตกลง,7113
ถูกต้อง,7106
รอง,7097
แทบ,7087
หน่วย,7072
ปลาย,7072
ไฟ,7053
ยื่น,7024
เตรียม,7011
ประเด็น,7009
คำสั่ง,7004
หนี,6992
มาตรฐาน,6966
ติดต่อ,6936
เจริญ,6931
สังเกต,6908
วิชา,6866
หนัก,6859
สำนัก,6848
จิตใจ,6848
อย่างไรก็ตาม,6818
อากาศ,6815
7,6815
ประสบ,6810
เจตนา,6797
เรื่อย,6796
เลือด,6788
องค์กร,6785
ชา,6782
ดำเนิน,6766
แสน,6723
คอย,6718
คนใน,6675
ข้าราชการ,6674
ขยาย,6647
สรุป,6631
9,6611
ลอง,6606
เสื้อ,6605
น้ำมัน,6602
ห้าม,6594
หมายความ,6593
แข่งขัน,6593
มั้ย,6563
สบาย,6546
งบประมาณ,6543
สื่อสาร,6530
ช่าง,6515
เนื้อ,6508
สา,6502
ในขณะที่,6498
ทีม,6486
คล้าย,6480
ขา,6472
ทรัพย์สิน,6467
ภาวะ,6457
วรรค,6429
เอ,6378
ดิน,6371
8,6350
สวน,6350
ยาย,6341
มุม,6334
ฟ้า,6329
สงสัย,6316
ลา,6301
ผิว,6299
กว้าง,6285
เบา,6281
สงบ,6272
สั้น,6263
สื่อ,6250
บ้า,6242
เล่ม,6236
หลักฐาน,6226
ชม,6220
แปลก,6207
ทุกข์,6203
รา,6200
พัน,6199
จำกัด,6197
สาเหตุ,6197
นิติกรรม,6177
กล้า,6176
แนวทาง,6167
ลำดับ,6166
ชวน,6145
ศพ,6144
อันเป็น,6130
บ่อย,6117
พลัง,6113
ลืม,6086
บัญชี,6082
ธรรมดา,6073
ยอด,6052
แม้แต่,6051
ทั้งหลาย,6043
นายกรัฐมนตรี,6043
เมืองไทย,6036
เกินไป,6036
ย้าย,6031
เอกสาร,6026
ทำหน้าที่,6014
บันทึก,6007
คราว,6006
เอกชน,5984
ดำรง,5979
พื้น,5979
ปริมาณ,5948
เที่ยว,5939
กรรม,5926
แนวคิด,5925
ไหล,5920
เช้า,5918
โดน,5913
นก,5905
หนี้,5895
โต๊ะ,5885
ทุน,5877
กา,5859
พ่อแม่,5859
ศูนย์,5857
ช้า,5849
กี่,5843
เรียบร้อย,5841
หวัง,5839
ไร้,5838
ลุก,5820
สถาน,5802
กล่าวถึง,5801
องค์,5786
รายละเอียด,5780
เรียนรู้,5772
เดี๋ยว,5771
ชิ้น,5764
คำตอบ,5762
สถานการณ์,5761
รัฐธรรมนูญ,5761
ค่อนข้าง,5756
งาม,5754
อันตราย,5743
ประกอบด้วย,5731
โน้ต,5728
วง,5726
พิมพ์,5725
พื้นฐาน,5711
อ่อน,5705
สุ,5701
เทคโนโลยี,5698
กอง,5685
สม,5683
ดวง,5673
ป้า,5673
มั่นคง,5662
เท่ากับ,5657
ฝน,5651
ชั่วโมง,5646
ความต้องการ,5644
นคร,5643
ตะวันตก,5642
ซ้ำ,5639
ฆ่า,5634
หลวง,5634
สามี,5623
อิทธิพล,5613
พร้อมกับ,5600
ประสบการณ์,5597
ภายใต้,5596
ลึก,5588
ยาม,5581
ครึ่ง,5576
เป้าหมาย,5566
ศิลปะ,5565
สิ่งแวดล้อม,5563
งั้น,5560
กาย,5533
สุขภาพ,5508
นิ่ง,5507
แฟน,5503
ส่งผล,5477
อี,5470
ชี้,5461
ครบ,5454
ชายหนุ่ม,5448
พระเจ้า,5445
ผู้ใหญ่,5436
ฯลฯ,5433
แผน,5432
ตั้งใจ,5431
แต่ง,5426
อย่างยิ่ง,5422
เงื่อนไข,5405
เกาะ,5404
ปลอดภัย,5388
มหา,5386
แท้จริง,5380
อนาคต,5374
แต่งตั้ง,5372
ประสิทธิภาพ,5366
เปิดเผย,5364
ประวัติศาสตร์,5343
สมบูรณ์,5342
เปรียบเทียบ,5333
สาขา,5332
ชัย,5321
พ้น,5305
เงียบ,5302
อะ,5295
ผู้คน,5291
แต่งงาน,5289
เยอะ,5288
ฝัน,5270
กรุง,5258
ปลูก,5251
ฐาน,5248
ลม,5247
ซะ,5233
มติ,5231
โทรศัพท์,5229
ฝึก,5220
ละคร,5203
ก้าว,5198
แปล,5191
ภายนอก,5189
ภาพยนตร์,5180
พลังงาน,5168
แม้ว่า,5168
นั่นเอง,5157
ผลงาน,5152
สูงสุด,5149
ท้องถิ่น,5137
ผลกระทบ,5131
อาคาร,5120
ต่อเนื่อง,5119
ขณะ,5119
ชัด,5101
พอใจ,5094
ญาติ,5073
ส่วนตัว,5066
ข้าม,5052
ตี,5042
รวดเร็ว,5030
สมเด็จ,5020
ท่า,5019
สอบ,5018
นาที,5016
เหล่านั้น,5016
ให้การ,4998
อ้าง,4993
รับรู้,4981
ปรับปรุง,4974
ข้า,4973
บุญ,4969
ซา,4967
โรง,4950
ข้อความ,4944
ทำลาย,4931
สนิท,4925
เถอะ,4910
แถว,4909
เรื่องราว,4907
เข้าสู่,4905
กระจาย,4905
พวกเรา,4904
เพชร,4902
ดอก,4897
โรงพยาบาล,4887
ความเชื่อ,4879
ความสำเร็จ,4879
ประโยค,4874
พืช,4860
กลิ่น,4859
ก่อให้เกิด,4855
นักศึกษา,4851
ห่าง,4836
ดา,4822
แนะนำ,4811
ต่อไปนี้,4808
เพิ่มเติม,4803
ระ,4789
แถม,4766
บัญญัติ,4766
หลักการ,4758
เท้า,4751
ล้วน,4739
แผ่นดิน,4718
ประ,4717
สัมผัส,4714
ตลอดจน,4714
วิชาชีพ,4714
ภัย,4713
วัตถุ,4695
ที่ไหน,4691
แง่,4684
ยัย,4679
หู,4676
สมอง,4672
แขน,4653
เติบโต,4647
ดนตรี,4645
หัวหน้า,4645
ธนาคาร,4643
เพียงแต่,4641
เก่ง,4638
โบราณ,4638
ลูกค้า,4627
ทำนอง,4618
หลับ,4611
ไอ,4610
หิน,4609
ต่อสู้,4608
หมู่,4605
สะดวก,4591
พนักงาน,4585
แสง,4580
เอ่ย,4578
กระแส,4572
ยืนยัน,4571
สำเร็จ,4564
ออกแบบ,4560
ลูกจ้าง,4546
เนี่ย,4543
บางที,4534
บรรดา,4532
ก่อ,4531
รุนแรง,4531
หลักเกณฑ์,4529
คาด,4528
จากนั้น,4523
ก,4512
ติดตาม,4507
หายใจ,4505
คุณสมบัติ,4500
นำเข้า,4500
หวาน,4495
สมควร,4483
ดูเหมือน,4481
อาทิตย์,4480
กระทบ,4478
คัน,4472
โดยที่,4467
ประชาธิปไตย,4466
เรียกร้อง,4457
ภรรยา,4450
ห่วง,4441
เกษตรกร,4437
ราว,4430
มิใช่,4428
กระเป๋า,4414
อิสระ,4414
โรงแรม,4388
คอ,4386
พันธุ์,4377
เสด็จ,4374
ชำระ,4371
ฝรั่ง,4368
มุ่ง,4367
การเงิน,4362
อิน,4360
สำรวจ,4350
ยึด,4346
ย่อย,4336
เริ่มต้น,4331
เครื่องมือ,4331
สนุก,4320
ท้าย,4314
ปฏิเสธ,4302
อุปกรณ์,4295
ภายหลัง,4293
วิทยาศาสตร์,4291
โรงงาน,4291
รับรอง,4290
โดยตรง,4286
มาตรการ,4275
โกรธ,4270
ผลประโยชน์,4267
รัฐมนตรี,4267
ตื่น,4255
บิน,4252
ขั้นตอน,4248
ทา,4246
องค์การ,4244
ยิง,4241
จัดทำ,4238
สงคราม,4237
พยาบาล,4218
วิ,4216
ดึง,4214
คุ้มครอง,4212
หยิบ,4207
ท่องเที่ยว,4205
กรอบ,4197
เชียง,4190
กะ,4185
สหรัฐอเมริกา,4181
คะแนน,4178
ยุโรป,4174
เจ็บ,4165
ผู้เขียน,4161
คุณค่า,4158
พลาง,4157
คำพูด,4156
กล่าวคือ,4156
ประเมิน,4150
วา,4147
พอดี,4141
ปรึกษา,4140
จัดตั้ง,4135
กฎ,4133
แล,4131
จ้าง,4120
บทบัญญัติ,4119
ม้า,4119
วัตถุประสงค์,4118
หอม,4109
อย่างน้อย,4108
ช่อง,4098
คา,4094
เชิญ,4092
เหมือนกับ,4091
นิด,4082
จังหวะ,4081
มองเห็น,4066
รอย,4066
สะท้อน,4059
หนังสือพิมพ์,4056
อำเภอ,4054
ตาราง,4049
แตก,4043
ดอกไม้,4043
เสื้อผ้า,4036
พุทธ,4033
รึ,4033
ขน,4022
แหละ,4022
วิชาการ,4016
ชนบท,4016
จำเลย,4007
ค่าใช้จ่าย,4005
เล็กน้อย,3997
พี,3993
นาม,3990
เนื้อหา,3988
เคลื่อนไหว,3987
เค,3983
ถอน,3965
ที่ตั้ง,3963
ล้าง,3960
จนกระทั่ง,3949
ส่งออก,3947
แผ่น,3942
ความสนใจ,3942
อ,3914
ก็ดี,3907
นิ้ว,3903
รางวัล,3899
ระวัง,3898
พูดถึง,3895
คุณแม่,3895
สะอาด,3894
ชนชั้น,3893
บรรยากาศ,3889
แท้,3889
ผลิตภัณฑ์,3888
เขียว,3873
นัด,3873
ไม่ทัน,3870
ล่า,3868
ล่าง,3866
โร,3866
ขนส่ง,3862
ชั่ว,3861
ฝรั่งเศส,3857
หน้าตา,3854
อันดับ,3852
ท้อง,3849
น้ำหนัก,3847
ลอย,3843
ร้าย,3842
ปัญญา,3841
เสี่ยง,3838
ลับ,3836
การเลือกตั้ง,3823
ใส,3816
ต้นไม้,3814
แม่น้ำ,3803
ผัก,3800
ที่นั่ง,3798
หก,3795
สถานี,3787
ชนะ,3775
ฝาก,3769
พิสูจน์,3768
ดิ,3767
เต็มที่,3759
เลขาธิการ,3757
พลอย,3757
สด,3755
หมา,3753
ตัน,3752
คึกฤทธิ์,3748
ว่าง,3747
สัญญาณ,3741
สอดคล้อง,3739
หลากหลาย,3738
ริม,3733
บา,3731
ดัน,3710
นายก,3707
ข้างต้น,3706
แอบ,3695
ประชากร,3694
เทียบ,3679
ผู้ป่วย,3670
ฝีมือ,3663
ไหว,3662
สิ้น,3655
ฉะนั้น,3654
เช่นเดียว,3650
สมาคม,3645
ท่าทาง,3639
หลง,3638
ใบหน้า,3634
ขณะนี้,3627
มอบ,3627
รถยนต์,3625
คิดถึง,3616
พิธี,3613
ไฟฟ้า,3612
กด,3603
รี,3600
ทีเดียว,3595
จี,3591
ข่าวสาร,3585
พาณิชย์,3579
หมื่น,3573
อก,3563
ลูกสาว,3558
ถิ่น,3556
ลงโทษ,3549
พล,3546
ทั้งสิ้น,3544
ผี,3542
เทคนิค,3540
จำหน่าย,3540
วงศ์,3539
ฝั่ง,3538
กู,3530
เชื้อ,3529
เมีย,3527
บริโภค,3522
ลูกชาย,3521
คอร์ด,3516
เทพ,3512
องค์ประกอบ,3510
ผสม,3505
ดื่ม,3502
สติ,3501
ตอนนั้น,3499
เซ,3488
ราวกับ,3485
สอบสวน,3482
กำเนิด,3481
ปืน,3479
ดวงตา,3478
ขัด,3474
นั่นแหละ,3471
เรือน,3469
รส,3459
เลื่อน,3454
นับแต่,3453
ริ,3453
ขึ้นอยู่กับ,3452
รับผิดชอบ,3449
หนาว,3442
ติ,3437
ซ้าย,3437
ศึก,3437
ฤทธิ์,3437
ประกัน,3429
เสริม,3425
ลาย,3424
เส้นทาง,3423
อเมริกัน,3422
โทรทัศน์,3421
เตอร์,3415
ประธานาธิบดี,3412
10,3411
เค้า,3411
ละเอียด,3410
ลุง,3407
ตัวแทน,3406
วินิจฉัย,3404
ผูกพัน,3402
เช่นนั้น,3399
บิดา,3395
ผู้แทน,3394
พิษ,3392
คิดเห็น,3384
คุรุ,3380
กระดาษ,3379
เฝ้า,3376
สมรส,3375
ตะวันออก,3374
ทั้งที่,3370
ประสงค์,3368
นิ,3364
โอน,3363
อินเดีย,3363
ไร่,3360
ต้นทุน,3359
ใกล้ชิด,3356
ลิ,3354
กองทุน,3353
เมตร,3351
น่าสนใจ,3349
ทน,3349
สาระ,3348
หลาน,3344
กระตุ้น,3342
ศักดิ์,3337
ไท,3331
นั่นคือ,3329
ขอบคุณ,3328
บุตร,3327
กีฬา,3323
มารดา,3319
แล้วแต่,3314
ทะเบียน,3313
คณะรัฐมนตรี,3306
วิญญาณ,3305
สนาม,3302
ยกเว้น,3299
การลงทุน,3298
แสดงออก,3294
ขับรถ,3293
มูลค่า,3293
กลับบ้าน,3287
วาด,3276
โฆษณา,3272
จัง,3271
เพียงพอ,3270
แผนที่,3266
เอเชีย,3264
ทิศ,3263
แทนที่,3258
ตีความ,3253
สัปดาห์,3252
ความขัดแย้ง,3251
ดังที่,3250
แน่ใจ,3249
เช่า,3248
วี,3245
น้า,3245
คนเรา,3244
หุ่น,3239
สวยงาม,3235
รวบรวม,3220
เลือกตั้ง,3219
เยี่ยม,3217
บรรจุ,3217
รัชกาล,3212
บรรยาย,3210
ปา,3205
ถ่าย,3203
เห็นด้วย,3202
ไล่,3200
ซิ,3199
ทรัพย์,3193
กร,3191
เหนื่อย,3183
ไก่,3181
ความร่วมมือ,3177
ฟิลิปปินส์,3176
ทิศทาง,3173
ภูมิภาค,3170
พระมหากษัตริย์,3165
คำนึง,3162
ต่างหาก,3159
ทดลอง,3157
รับประทาน,3150
บัตร,3149
ตัดสิน,3136
จิ,3132
อเมริกา,3123
หลบ,3122
ปฏิบัติงาน,3115
น่ารัก,3114
สร้างสรรค์,3110
ถวาย,3107
คนไข้,3104
เหมาะ,3104
แพง,3104
ผลผลิต,3097
ลงทุน,3094
เร่ง,3093
ระบอบ,3093
เกณฑ์,3092
ยู,3090
อิ,3088
ข้างหน้า,3086
จง,3085
น้ำท่วม,3076
ข้อเท็จจริง,3073
ถุง,3072
สตรี,3069
เรียง,3064
แพ้,3063
โด,3059
วิทยา,3058
ความเสียหาย,3058
ทรัพยากร,3056
เยาวชน,3055
พี่น้อง,3043
บ้านเมือง,3037
อาวุธ,3035
ปฏิบัติการ,3034
หุ้น,3033
แข็งแรง,3031
ก้าวหน้า,3030
ประเพณี,3028
พร,3027
เจรจา,3024
นัย,3022
สืบ,3018
โค,3015
ขนม,3014
สู้,3013
สมาธิ,3012
นึกถึง,3008
นับถือ,3003
ตึก,2997
คำนวณ,2993
ศิลปิน,2991
จอด,2990
ฟัน,2989
ทำเป็น,2988
ตกใจ,2987
วางแผน,2984
สมัยใหม่,2982
เท่าไหร่,2979
โดยทั่วไป,2967
นอกจากนั้น,2967
พุทธศาสนา,2966
นิสัย,2960
น้ำตาล,2958
ฉาก,2957
กุ้ง,2952
ปรารถนา,2951
อนุมัติ,2949
ชาวนา,2944
สยาม,2943
เวที,2943
คลื่น,2942
เห็นชอบ,2940
สวม,2937
เศร้า,2935
ปวด,2930
โปรด,2927
เสรีภาพ,2920
ลำ,2919
ตรงนี้,2917
โม,2914
ฟ้อง,2912
โครง,2908
เรียบ,2904
สัน,2904
ประมวล,2900
เตือน,2899
ขยายตัว,2899
ทุกวันนี้,2897
เกม,2896
ความเป็นจริง,2891
ปฏิรูป,2887
อด,2884
มอบหมาย,2881
ช้าง,2878
เต้น,2876
เงินเดือน,2875
ทั้งนั้น,2872
นายจ้าง,2871
ประสาน,2866
อาญา,2862
ฉาย,2862
เตียง,2860
ผู้นั้น,2857
น้ำเสียง,2857
คอมพิวเตอร์,2856
ยินดี,2854
ทราย,2853
วงการ,2852
ขอบ,2851
ตู้,2849
วะ,2849
คำพิพากษา,2843
ดำเนินงาน,2843
ทาน,2835
โน,2831
เฉย,2831
ทดสอบ,2830
ยุติธรรม,2829
วิทยุ,2828
ทำร้าย,2828
ชิ,2827
ถ้าหาก,2823
ทศวรรษ,2822
แต่งตัว,2822
รี่,2814
โจทก์,2811
ศีรษะ,2807
ตัวเลข,2806
สว่าง,2806
ผู้อำนวยการ,2804
สีหน้า,2802
เร,2801
ภาระ,2793
สหกรณ์,2790
เสรี,2789
แลกเปลี่ยน,2781
หมาย,2779
อธิบดี,2778
ลบ,2778
ร้องไห้,2774
ต่อต้าน,2770
วัง,2769
ผู้บริหาร,2768
เจ,2759
ประวัติ,2754
พึง,2753
ราม,2751
อร่อย,2745
